дата	projectID	выручка
01.01.2017	230255	51416
01.01.2017	230255	3524
01.01.2017	230255	108008
01.01.2017	230739	316
01.01.2017	244173	4475
01.01.2017	244173	4595
01.01.2017	245772	134493
01.01.2017	245774	9709
01.01.2017	245775	3433
01.01.2017	245776	55687
01.01.2017	245777	3619
01.01.2017	245778	309771
01.01.2017	245780	117
01.01.2017	245780	475
01.01.2017	245782	4623
01.01.2017	245785	106802
01.01.2017	245786	2725
01.01.2017	254977	2433
01.01.2017	279727	56093
01.01.2017	304193	3650
01.01.2017	312874	310384
01.01.2017	446720	118
01.01.2017	447270	478
01.01.2017	451341	4626
01.01.2017	452031	106845
01.01.2017	452033	2743
01.01.2017	452034	2433
01.01.2017	452135	56461
01.01.2017	452247	3655
01.01.2017	452593	312323
01.01.2017	452655	118
01.01.2017	458590	481
01.01.2017	460062	4670
01.01.2017	463515	107604
01.01.2017	466944	2763
01.01.2017	466944	2443
01.01.2017	467613	56915
01.01.2017	467614	3664
01.01.2017	467768	313208
01.01.2017	475452	119
01.01.2017	475908	484
01.01.2017	475909	4685
01.01.2017	476406	108228
01.01.2017	477326	2789
01.01.2017	477729	2444
01.01.2017	478064	56939
01.01.2017	478103	3678
01.01.2017	479853	313755
01.01.2017	479854	120
01.01.2017	480627	489
01.01.2017	480676	4713
01.01.2017	482566	108815
01.01.2017	482567	2796
01.01.2017	483892	2449
01.01.2017	484659	57202
01.01.2017	488980	3696
01.01.2017	489078	316646
01.01.2017	489096	120
01.01.2017	490639	492
01.01.2017	491231	4729
01.01.2017	492896	109247
01.01.2017	493118	2799
01.01.2017	493119	2467
01.01.2017	493336	57754
01.01.2017	493336	3719
01.01.2017	493336	319269
01.01.2017	496889	121
01.01.2017	496889	494
02.01.2017	230255	4766
02.01.2017	230255	110000
02.01.2017	230255	2817
02.01.2017	230739	2491
02.01.2017	244173	58130
02.01.2017	244173	3727
02.01.2017	245772	319705
02.01.2017	245774	121
02.01.2017	245775	497
02.01.2017	245776	4792
02.01.2017	245777	110990
02.01.2017	245778	2836
02.01.2017	245780	2502
02.01.2017	245780	58509
02.01.2017	245782	3745
02.01.2017	245785	321582
02.01.2017	245786	121
02.01.2017	254977	499
02.01.2017	279727	4834
02.01.2017	304193	112009
02.01.2017	312874	2839
02.01.2017	312874	2520
02.01.2017	446720	58997
02.01.2017	447270	3779
02.01.2017	451341	322153
02.01.2017	452031	122
02.01.2017	452033	502
02.01.2017	452034	4840
02.01.2017	452135	112716
02.01.2017	452247	2851
02.01.2017	452593	2532
02.01.2017	452655	59027
02.01.2017	458590	3781
02.01.2017	460062	323282
02.01.2017	463515	123
02.01.2017	466944	506
02.01.2017	466944	4857
02.01.2017	467613	113761
02.01.2017	467614	2880
02.01.2017	467768	2546
02.01.2017	475452	59047
02.01.2017	475908	3812
02.01.2017	475909	324090
02.01.2017	476406	123
02.01.2017	477326	507
02.01.2017	477729	4873
02.01.2017	478064	114419
02.01.2017	478103	2880
02.01.2017	479853	2560
02.01.2017	479854	59492
02.01.2017	480627	3823
02.01.2017	480676	325140
02.01.2017	482566	124
02.01.2017	482567	512
02.01.2017	483892	4917
02.01.2017	484659	115215
02.01.2017	488980	2880
02.01.2017	489078	2568
02.01.2017	489096	59804
02.01.2017	491231	3825
02.01.2017	492896	326854
02.01.2017	493118	125
02.01.2017	493119	516
02.01.2017	493336	4963
02.01.2017	493336	115983
02.01.2017	493336	2890
02.01.2017	496889	2575
02.01.2017	496889	60137
03.01.2017	230255	3841
03.01.2017	230255	329304
03.01.2017	230255	126
03.01.2017	230739	520
03.01.2017	244173	5009
03.01.2017	244173	117136
03.01.2017	245772	2907
03.01.2017	245774	2581
03.01.2017	245775	60147
03.01.2017	245776	3866
03.01.2017	245777	330876
03.01.2017	245778	126
03.01.2017	245780	523
03.01.2017	245780	5048
03.01.2017	245782	118245
03.01.2017	245785	2926
03.01.2017	245786	2595
03.01.2017	254977	60496
03.01.2017	279727	3900
03.01.2017	304193	333423
03.01.2017	312874	127
03.01.2017	446720	524
03.01.2017	447270	5070
03.01.2017	451341	118949
03.01.2017	452031	2942
03.01.2017	452033	2608
03.01.2017	452034	61091
03.01.2017	452135	3911
03.01.2017	452247	334843
03.01.2017	452593	127
03.01.2017	452655	525
03.01.2017	458590	5114
03.01.2017	460062	119858
03.01.2017	463515	2952
